"Id","SalePrice"
1461,114078.755158444
1462,155064.587933589
1463,191037.54622199
1464,193949.513584414
1465,207204.272904327
1466,172186.92620141
1467,177539.580003816
1468,157681.333083818
1469,203419.04909787
1470,116564.423323242
1471,159266.767395313
1472,97899.3123554087
1473,95107.0839862322
1474,148569.098390456
1475,110473.065711628
1476,376104.438716036
1477,262436.237382113
1478,315035.455118522
1479,307503.513992475
1480,478444.739066943
1481,309519.96239625
1482,203984.406732546
1483,178663.519011998
1484,160060.771264097
1485,175588.365512387
1486,186315.213717165
1487,335269.493257008
1488,228399.987101561
1489,202242.339930582
1490,264271.824076633
1491,199644.404271396
1492,102954.206182499
1493,191443.008633171
1494,313056.157545652
1495,288232.502648671
1496,245462.375009151
1497,174432.223792447
1498,175244.273620557
1499,163318.83968371
1500,154122.558919274
1501,196669.668611404
1502,134764.989329954
1503,364078.321754006
1504,233638.794974653
1505,224511.681089174
1506,186461.5199292
1507,258114.561979286
1508,198867.442538979
1509,153331.578006388
1510,141047.011141217
1511,161756.629236855
1512,181955.355436636
1513,151876.655744482
1514,160792.491746165
1515,215422.624727165
1516,157747.42476057
1517,186614.278126473
1518,120488.510446279
1519,221514.659632357
1520,122457.321947883
1521,133384.591435089
1522,188003.917925694
1523,112199.956098915
1524,124486.675328809
1525,118439.761912262
1526,107208.365870138
1527,107231.151926302
1528,131269.384170811
1529,160639.474259233
1530,210362.150007084
1531,125731.145997786
1532,90703.3440957652
1533,156280.695889947
1534,128497.836751879
1535,156694.779315956
1536,93386.9407363244
1537,50962.5974814398
1538,151967.662630384
1539,212278.786690036
1540,129777.086027518
1541,140652.743945226
1542,162976.580305175
1543,186123.451642145
1544,76294.450687499
1545,119962.437052914
1546,135150.304830104
1547,136876.805068054
1548,150650.430071143
1549,125031.71313645
1550,145998.364165986
1551,106023.538872485
1552,157127.228949942
1553,156192.001672658
1554,117513.228725843
1555,159956.844390605
1556,52945.2395811076
1557,139376.328517034
1558,104030.744187292
1559,59302.3128311815
1560,121123.705239298
1561,153129.793730356
1562,131838.784711977
1563,133553.743363138
1564,158884.728310847
1565,156797.997258113
1566,226441.173152321
1567,76262.8641631832
1568,219912.855218818
1569,135001.788208035
1570,133431.074590797
1571,88936.4972450914
1572,148026.621793471
1573,272581.404401716
1574,140918.884702287
1575,231749.828527397
1576,226462.432099218
1577,184631.855629609
1578,156869.267128306
1579,143240.901781349
1580,192280.799529485
1581,149923.362972926
1582,135329.499255291
1583,278406.427170328
1584,222087.396496393
1585,132426.06526908
1586,68812.6310673916
1587,110781.701678672
1588,156835.786213784
1589,111761.349073265
1590,127352.220443578
1591,91591.7960682233
1592,132578.911792763
1593,128454.650028737
1594,144796.617732371
1595,116952.242013306
1596,227678.015934308
1597,211422.328152831
1598,215189.751387481
1599,186679.92033363
1600,170033.076466462
1601,53817.6930759807
1602,126327.121542524
1603,45020.2762317738
1604,274166.87317325
1605,225046.529891192
1606,151462.12129736
1607,168589.898632559
1608,200984.693084924
1609,189525.771474925
1610,156984.331931515
1611,125663.865926305
1612,187708.678147474
1613,162158.329065898
1614,134876.867831523
1615,92191.3947025583
1616,61752.8714403181
1617,82393.1134090522
1618,136352.766605651
1619,142225.420642828
1620,194383.774716073
1621,133063.136439486
1622,149520.169554129
1623,254510.759898759
1624,201593.970548498
1625,115665.982918708
1626,168610.633945828
1627,194406.114025162
1628,275452.641290173
1629,178739.571777485
1630,367861.307554078
1631,255721.0516138
1632,249072.315921514
1633,174441.862567528
1634,185987.195831741
1635,169837.532577149
1636,146204.674434108
1637,201681.24152347
1638,176511.054805107
1639,182953.422391509
1640,237984.042642397
1641,186836.695022829
1642,255933.338850207
1643,217418.166164984
1644,237038.623976652
1645,216371.674653541
1646,154703.802823629
1647,156286.783272464
1648,126422.120309122
1649,128486.719388633
1650,117442.740341357
1651,118469.776326914
1652,96810.053627612
1653,93967.5730473068
1654,146656.196115281
1655,125581.761492944
1656,142745.437959044
1657,156646.260825167
1658,147646.070770779
1659,128096.525390068
1660,152742.890840106
1661,432906.259167809
1662,395233.41935072
1663,391487.813818585
1664,521620.884996177
1665,333558.169610169
1666,324246.041171134
1667,378316.550593052
1668,364388.625303043
1669,324030.856290351
1670,366884.016133536
1671,273769.26970161
1672,411900.420127659
1673,290996.029932336
1674,249070.932987982
1675,204533.539886618
1676,207738.636563059
1677,218120.108648117
1678,479375.70383883
1679,393205.088254512
1680,345609.423610474
1681,284078.566872938
1682,321231.662138273
1683,192856.701262762
1684,166059.888319201
1685,167924.300585513
1686,162406.655825319
1687,158856.51455095
1688,178092.656171468
1689,186050.742649748
1690,185494.52771065
1691,175908.229864813
1692,248992.669448073
1693,172092.190966295
1694,183376.240363921
1695,164653.646537749
1696,258402.680627778
1697,178477.118598999
1698,337955.801071707
1699,326130.720015389
1700,275432.593972481
1701,281532.256916776
1702,231240.272102977
1703,225910.054404103
1704,273950.876374607
1705,242618.065755345
1706,193972.047598886
1707,235853.714726361
1708,203931.330086436
1709,246547.731595191
1710,221928.790965526
1711,268006.180249528
1712,257310.256956457
1713,287373.12299723
1714,229868.376651327
1715,212803.517864941
1716,186167.377989062
1717,173207.292383406
1718,143122.930380388
1719,228360.32192792
1720,250600.091665247
1721,150341.556369149
1722,115287.888827677
1723,153273.634220151
1724,213489.988267844
1725,241711.230516454
1726,185876.643836222
1727,157303.550288723
1728,152657.995814787
1729,172964.822097611
1730,164505.674858362
1731,110735.254603218
1732,135804.504014588
1733,117057.026303815
1734,120121.226882234
1735,89275.2294040203
1736,97441.2133799874
1737,278952.978241932
1738,276880.027293037
1739,247533.550438916
1740,223827.46373246
1741,191413.823397385
1742,179197.601946829
1743,169391.701282968
1744,360754.799615565
1745,223784.656121983
1746,202510.404922137
1747,219213.708363166
1748,225189.723177348
1749,136758.343309454
1750,134396.058025184
1751,225057.945913011
1752,114229.97061383
1753,155847.413964368
1754,194256.6797089
1755,170590.09772592
1756,142405.663387237
1757,121831.032304211
1758,145280.807497454
1759,163900.175976984
1760,162260.696702978
1761,156120.488645515
1762,191399.664411346
1763,178804.387249467
1764,115541.556579524
1765,191145.33857197
1766,195508.733424541
1767,226805.734009941
1768,139950.214631151
1769,160165.537200017
1770,150904.872536299
1771,121190.978706961
1772,134731.962465672
1773,105729.23547352
1774,162032.97709362
1775,139093.781914718
1776,131792.343944006
1777,111393.590405169
1778,150555.469629923
1779,132579.908158499
1780,157676.674302869
1781,126688.077548877
1782,75423.6428715825
1783,141501.046691954
1784,100820.563566682
1785,144305.093849958
